num_provers,block_number,iteration,sync_time_ms,consensus_oracle_time_ms,execution_oracle_time_ms,memory_bytes,cpu_percent,network_bytes_in,network_bytes_out,timestamp
0,1350,1,0,0,2353,9171183807.112555,20.27,6291456.0,797562.6914289311,2025-07-25T10:48:22+0200
0,1350,2,0,0,2198,8815669899.18646,20.13,6700186.729473035,739049.5951222504,2025-07-25T10:48:25+0200
0,1350,3,0,0,2209,9169783829.508448,20.07,6751489.839289589,781120.1691924841,2025-07-25T10:48:27+0200
0,1350,4,0,0,2197,9552539392.156927,21.54,6487796.334442064,773050.5563090482,2025-07-25T10:48:30+0200
0,1350,5,0,0,2195,8771734180.617281,20.9,6841813.017894662,602223.8679810017,2025-07-25T10:48:32+0200
0,1350,6,0,0,2194,8771283077.036226,20.84,7154512.6430960065,632534.1815303552,2025-07-25T10:48:35+0200
0,1350,7,0,0,2208,9582979875.748524,19.98,7988430.1057144785,740610.806895985,2025-07-25T10:48:37+0200
0,1350,8,0,0,2258,9246563184.831116,25.82,7076273.062554525,764333.8360997093,2025-07-25T10:48:39+0200
0,1350,9,0,0,2203,8670926319.87631,20.35,7080221.24786516,738230.2935727809,2025-07-25T10:48:42+0200
0,1350,10,0,0,2196,9116902300.924503,22.05,6890716.074485937,968166.9658602839,2025-07-25T10:48:44+0200
0,3620,1,0,0,2504,8809990046.665705,25.25,6291456.0,886271.7600496004,2025-07-25T11:00:00+0200
0,3620,2,0,0,2314,8722873885.299131,19.13,7006188.212174918,837781.6286059878,2025-07-25T11:00:02+0200
0,3620,3,0,0,2050,8914958456.846268,22.4,6854653.509911746,693135.4809658676,2025-07-25T11:00:04+0200
0,3620,4,0,0,2246,8589934592.0,25.3,8343200.374518889,768548.0613277607,2025-07-25T11:00:06+0200
0,3620,5,0,0,2102,8589934592.0,20.39,6755455.175256384,635630.6853881156,2025-07-25T11:00:09+0200
0,3620,6,0,0,2115,8590051679.552053,25.02,7036603.736666714,712470.6125903542,2025-07-25T11:00:11+0200
0,3620,7,0,0,2170,8589934592.0,21.49,6893177.77776791,634020.420744487,2025-07-25T11:00:13+0200
0,3620,8,0,0,2164,9000500425.075615,23.5,6291456.0,668197.337086276,2025-07-25T11:00:15+0200
0,3620,9,0,0,2217,8589934592.0,21.76,7583067.292907193,674027.887360065,2025-07-25T11:00:17+0200
0,3620,10,0,0,2435,8589934592.0,21.18,7540270.734332458,813762.9054431799,2025-07-25T11:00:19+0200
0,1457,1,0,0,2635,9745112435.1622,24.65,7723055.230009242,1105541.228718563,2025-07-25T11:00:21+0200
0,1457,2,0,0,2774,9040971562.081036,25.66,6832287.116914808,781315.0635580473,2025-07-25T11:00:24+0200
0,1457,3,0,0,2536,9064311569.43538,19.53,7995409.896052722,911433.489538427,2025-07-25T11:00:27+0200
0,1457,4,0,0,2510,8589934592.0,21.15,6365049.359576934,705475.8916977851,2025-07-25T11:00:29+0200
0,1457,5,0,0,2666,8846572522.37542,24.21,7628915.856480981,868755.4596211936,2025-07-25T11:00:32+0200
0,1457,6,0,0,2432,9035407656.774864,25.95,8356119.888212412,893542.7072748897,2025-07-25T11:00:35+0200
0,1457,7,0,0,2603,8589934592.0,23.43,6665591.655749297,888927.2935784422,2025-07-25T11:00:37+0200
0,1457,8,0,0,2308,9095771609.158943,25.12,6698674.6493112305,668838.9526922847,2025-07-25T11:00:40+0200
0,1457,9,0,0,2748,8857883613.598337,20.4,7407298.261429517,881050.1864710647,2025-07-25T11:00:42+0200
0,1457,10,0,0,2676,8966042088.476246,19.56,7000557.082195685,978587.5717419072,2025-07-25T11:00:45+0200
0,1102,1,0,0,3372,9138111879.845814,20.67,6849712.297129395,1141617.6716718953,2025-07-25T11:00:47+0200
0,1102,2,0,0,3323,10269298463.44293,25.94,7825478.147376062,1235550.6636293214,2025-07-25T11:00:50+0200
0,1102,3,0,0,3005,9245097631.377394,22.88,6901713.187229962,1070190.0261094084,2025-07-25T11:00:53+0200
0,1102,4,0,0,3177,8837636662.28235,20.11,7963265.513739518,1068748.5514084676,2025-07-25T11:00:56+0200
0,1102,5,0,0,3163,9708120582.499208,24.69,7098432.464037902,1380646.189058102,2025-07-25T11:00:59+0200
0,1102,6,0,0,3409,8862563710.72543,23.18,8820786.976883683,1327460.1116064074,2025-07-25T11:01:03+0200
0,1102,7,0,0,3189,9434188432.328787,25.87,7200297.72793687,916054.0390827728,2025-07-25T11:01:06+0200
0,1102,8,0,0,3113,8589934592.0,19.04,7427818.856223337,1135029.2845843034,2025-07-25T11:01:09+0200
0,1102,9,0,0,3431,8821431330.467558,25.41,8376140.777832371,1175019.191510283,2025-07-25T11:01:12+0200
0,1102,10,0,0,3399,9526946121.407825,20.12,7068148.617252883,1349822.2341571993,2025-07-25T11:01:16+0200
0,4038,1,0,0,2090,9152866527.984634,21.54,6976663.959461989,599302.9775158801,2025-07-25T11:01:18+0200
0,4038,2,0,0,2204,8955907682.556406,24.62,7663560.830792004,694462.770535956,2025-07-25T11:01:22+0200
0,4038,3,0,0,2042,8753770633.753653,24.44,6291456.0,660916.6524626529,2025-07-25T11:01:26+0200
0,4038,4,0,0,2327,8802325223.68162,23.27,7134745.878819066,823880.621094561,2025-07-25T11:01:30+0200
0,4038,5,0,0,2125,8589934592.0,24.17,7021408.153361704,586711.7308061218,2025-07-25T11:01:35+0200
0,4038,6,0,0,2262,8589934592.0,23.59,7418509.199148779,704416.0320385351,2025-07-25T11:01:39+0200
0,4038,7,0,0,2424,8774992260.69042,21.66,6401125.44416809,764073.1824237859,2025-07-25T11:01:43+0200
0,4038,8,0,0,2376,9433168166.011452,24.72,6321258.505379718,729442.6296386397,2025-07-25T11:01:48+0200
